init,FEC_CREACION,USU_CREACION,D_TIPOPAGO,ETL_FEC_CREACION,ETL_USU_CREACION,ETL_TIPOPAGO,ErrorCode,ErrorColumn
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,PLIN,2024-07-01,ETL inicial,PLIN,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,YAPE,2024-07-01,ETL inicial,YAPE,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
,2024-07-01 12:34:51.492000000,ETL inicial,EFECTIVO,2024-07-01,ETL inicial,EFECTIVO,-1071607683,0
