init,FEC_CREACION,USU_CREACION,CATEGORIA,ETL_FEC_CREACION,ETL_USU_CREACION,ETL_CATEGORIA,ErrorCode,ErrorColumn
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A1,2024-07-02,ETL inicial,REVA A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A1,2024-07-02,ETL inicial,REVA A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,CANJE A2A,2024-07-02,ETL inicial,CANJE A2A,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A1,2024-07-02,ETL inicial,REVA A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO NUEVO BIIB,2024-07-02,ETL inicial,MOTO NUEVO BIIB,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A3B,2024-07-02,ETL inicial,REVA A3B,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO NUEVO BIIB,2024-07-02,ETL inicial,MOTO NUEVO BIIB,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A1,2024-07-02,ETL inicial,REVA A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO NUEVO BIIB,2024-07-02,ETL inicial,MOTO NUEVO BIIB,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,RECAT A2B,2024-07-02,ETL inicial,RECAT A2B,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,RECA A2A,2024-07-02,ETL inicial,RECA A2A,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A1,2024-07-02,ETL inicial,REVA A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A3B,2024-07-02,ETL inicial,REVA A3B,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO NUEVO BIIC,2024-07-02,ETL inicial,MOTO NUEVO BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,MOTO REVA BIIC,2024-07-02,ETL inicial,MOTO REVA BIIC,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,REVA A2A,2024-07-02,ETL inicial,REVA A2A,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
,2024-07-02 00:02:35.086000000,ETL inicial,NUEVO A1,2024-07-02,ETL inicial,NUEVO A1,-1071607683,0
